Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 09 Aug 2023 10:56:43 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1961-0055-IND,1961,0055,,Natural,Meteorological,Extreme temperature ,Cold wave,,,India,IND,Southern Asia,Asia,,,,,,,,,,°C,,,,,1961,12,,1961,12,,400,,,,,,,,,,,10.2139637268352,,,,
1963-0064-IND,1963,0064,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1963,4,,1963,4,,112,,,,,,,,,,,10.4645423902321,,,,
1964-9044-IND,1964,9044,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,Mysore,,Famine,,Yes,No,No,,,Km2,,,,,1964,8,,1964,,,,,166000,,166000,,,,,,,10.5983760170141,,,,
1964-0068-IND,1964,0068,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Rameswaram,,,,,,,,,Kph,,,,,1964,12,17,1964,12,17,500,,,,,,,,,,,10.5983760170141,,,,
1964-9009-IND,1964,9009,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,"Rajasthan, center",,,,Yes,,,,,Km2,,,,,1964,7,,1964,,,,,500000,,500000,,,,,,,10.5983760170141,,,,
1965-9073-IND,1965,9073,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,Nationwide except south,,Famine,,Yes,No,No,,,Km2,,,,,1965,,,1967,,,1500000,,100000000,,100000000,,,,,100000,928817,10.7663787252722,,,,
1965-0096-IND,1965,0096,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,,,,,,,,,,°C,,,,,1965,6,,1965,6,,100,,,,,,,,,,,10.7663787252722,,,,
1966-0085-IND,1966,0085,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Madras state,,,,Yes,,,,,Kph,,,,,1966,11,3,1966,11,3,18,,150000,,150000,,,,,4200,37869,11.0909971475822,,,,
1967-0077-IND,1967,0077,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Maharashtra, Koynana",,,,,,,,7,Richter,17.412,73.885,04:21,,1967,12,11,1967,12,11,177,2272,50000,,52272,,,,,400,3509,11.3985269797253,,,,
1967-0063-IND,1967,0063,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Orissa,,,,,,,,,Kph,,,,,1967,10,8,1967,10,8,1000,,,,,,,,,,,11.3985269797253,,,,
1967-0004-IND,1967,0004,,Natural,Biological,Epidemic,Viral disease,,,India,IND,Southern Asia,Asia,,,,,Yes,,,,,Vaccinated,,,,,1967,1,1,1967,1,1,3029,,13576,,13576,,,,,,,11.3985269797253,,,,
1968-0055-IND,1968,0055,,Natural,Hydrological,Flood,Flash flood,,,India,IND,Southern Asia,Asia,"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",,,,Yes,,,,,Km2,,,,,1968,7,,1968,7,,4892,,7500000,,7500000,,,,,94200,792566,11.8854465143325,,,,
1968-0074-IND,1968,0074,,Natural,Hydrological,Landslide,Landslide,,,India,IND,Southern Asia,Asia,"Bihar, Bengal",,,,,,,,,,,,,,1968,10,1,1968,10,1,1000,,,,,,,,,,,11.8854465143325,,,,
1968-0084-IND,1968,0084,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Ramanathapurum, Thanjavur",,,,,,,,,Kph,,,,,1968,12,4,1968,12,4,7,,15000,,15000,,,,,,,11.8854465143325,,,,
1969-0071-IND,1969,0071,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Guntur, Krishna, Godavari (Andhra Pradesh)",,,,,,,,,Kph,,,,,1969,5,17,1969,5,17,600,,260000,,260000,,,,,8330,66456,12.5346752600948,,,,
1969-0109-IND,1969,0109,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Andhra Pradesh,,,,,,,,,Kph,,,,,1969,11,4,1969,11,4,200,,,,,,,,,,,12.5346752600948,,,,
1970-0112-IND,1970,0112,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Broach,,,,,,,,5,Richter,21.7,73,07:22,,1970,3,23,1970,3,23,26,200,,,200,,,,,,,13.2664799609959,,,,
1971-0058-IND,1971,0058,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"East coast, Orissa state",,,,Yes,,,,,Kph,,,,,1971,10,27,1971,10,27,9658,,4900000,2000000,6900000,,,,,30000,216826,13.8359835495998,,,,
1971-0112-IND,1971,0112,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Bihar, West Bengal",,,,,,,,,Kph,,,,,1971,9,27,1971,9,27,60,,,,,,,,,,,13.8359835495998,,,,
1972-0051-IND,1972,0051,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Andhra Pradesh, Orissa",,,,,,,,,Kph,,,,,1972,9,10,1972,9,10,100,,4500000,,4500000,,,,,,,14.2887340027309,,,,
1972-0063-IND,1972,0063,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Madras City,,,,,,,,,Kph,,,,,1972,12,1,1972,12,1,80,,30000,,30000,,,,,,,14.2887340027309,,,,
1972-9116-IND,1972,9116,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,Central,,,,Yes,No,No,,,Km2,,,,,1972,,,1973,,,,,200000000,,200000000,,,,,100000,699852,14.2887340027309,,,,
